"","X","Company_Name","Dependent.Company.Status","Age.of.company.in.years","Internet.Activity.Score","Has.the.team.size.grown","Number.of.Investors.in.Seed","Number.of.Investors.in.Angel.and.or.VC","Number.of.Co.founders","Number.of.of.advisors","Team.size.Senior.leadership","Team.size.all.employees","Number.of.of.repeat.investors","Number.of..Sales.Support.material","Worked.in.top.companies","Average.size.of.companies.worked.for.in.the.past","Have.been.part.of.startups.in.the.past.","Have.been.part.of.successful.startups.in.the.past.","Was.he.or.she.partner.in.Big.5.consulting.","Consulting.experience.","Product.or.service.company.","Catering.to.product.service.across.verticals","Focus.on.private.or.public.data.","Focus.on.consumer.data.","Focus.on.structured.or.unstructured.data","Subscription.based.business","Cloud.or.platform.based.serive.product.","Local.or.global.player","Linear.or.Non.linear.business.model","Capital.intensive.business.e.g..e.commerce..Engineering.products.and.operations.can.also.cause.a.business.to.be.capital.intensive","Crowdsourcing.based.business","Crowdfunding.based.business","Machine.Learning.based.business","Predictive.Analytics.business","Speech.analytics.business","Prescriptive.analytics.business","Big.Data.Business","Cross.Channel.Analytics..marketing.channels","Owns.data.or.not...monetization.of.data..e.g..Factual","Is.the.company.an.aggregator.market.place..e.g..Bluekai","Online.or.offline.venture...physical.location.based.business.or.online.venture.","B2C.or.B2B.venture.","Barriers.of.entry.for.the.competitors","Percent_skill_Entrepreneurship","Percent_skill_Operations","Percent_skill_Engineering","Percent_skill_Marketing","Percent_skill_Leadership","Percent_skill_Data.Science","Percent_skill_Business.Strategy","Percent_skill_Product.Management","Percent_skill_Sales","Percent_skill_Domain","Percent_skill_Law","Percent_skill_Consulting","Percent_skill_Finance","Percent_skill_Investment","Renown.score","Is_marketing","Is_analytics","Is_e_commerce","Is_telco","Is_software","Is_advertising","Is_entertainment","Is_retail","Is_energy","Is_healthcare","Is_education","Is_HR","Is_finance","Is_transport","Is_real_estate","important_investors"
"46",46,"company46","success",4,-24,"yes",0,0,4,10,6,23,0,"nothing","no","small","yes","yes","no","no","product","no","private","yes","structured","yes","cloud","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",18.18181818,0,36.36363636,0,0,18.18181818,0,0,0,27.27272727,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",47,"company47","success",3,295,"yes",0,1,2,2,2,32,0,"high","no","medium","no","no","no","no","product","yes","private","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",0,0,64.70588235,0,0,26.47058824,5.882352941,2.941176471,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"48",48,"company48","success",11,111,"yes",1,0,2,13,14,300,0,"low","no","medium","yes","yes","no","no","product","no","private","yes","structured","no","platform","global","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","online","b2c","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"50",50,"company50","failed",4,0,"no",0,0,2,0,2,7,3,"low","yes","small","yes","yes","no","no","product","yes","private","yes","unstructured","yes","cloud","local","non-linear","no","no","no","yes","no","no","yes","no","no","no","no","online","b2c","no",5.263157895,5.263157895,10.52631579,0,5.263157895,0,21.05263158,5.263157895,5.263157895,0,0,0,36.84210526,5.263157895,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",51,"company51","success",3,805,"yes",0,3,2,1,3,28,2,"high","no","medium","yes","yes","no","no","service","yes","both","no","both","yes","cloud","global","non-linear","no","no","no","no","no","no","no","yes","no","no","yes","online","b2b","no",17.64705882,0,5.882352941,29.41176471,0,11.76470588,11.76470588,5.882352941,0,17.64705882,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",52,"company52","success",5,-129,"yes",0,0,2,2,4,55,3,"medium","yes","large","yes","yes","no","no","both","no","private","yes","structured","no","platform","global","non-linear","no","no","no","yes","yes","no","yes","yes","yes","no","no","offline","b2b","yes",22.22222222,0,0,22.22222222,0,11.11111111,22.22222222,11.11111111,0,11.11111111,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"53",53,"company53","success",5,416,"yes",0,0,3,5,7,115,4,"high","no","large","no","no","yes","no","both","yes","private","no","structured","yes","cloud","global","non-linear","no","no","no","yes","yes","no","yes","yes","no","no","no","online","b2b","no",8.660130719,8.333333333,28.75816993,5.555555556,5.718954248,17.15686275,17.32026144,2.777777778,0,5.718954248,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"54",54,"company54","success",7,115,"yes",0,2,4,3,8,70,5,"nothing","no","medium","no","no","no","no","service","no","private","no","structured","yes","platform","global","non-linear","no","no","no","yes","yes","no","yes","yes","no","no","no","online","b2b","yes",5.555555556,0,44.44444444,11.11111111,0,0,27.77777778,5.555555556,5.555555556,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",56,"company56","success",3,524,"yes",3,0,2,2,3,30,1,"medium","no","medium","no","no","no","no","service","yes","private","no","both","yes","cloud","global","linear","yes","no","no","no","no","no","no","yes","no","no","yes","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"57",57,"company57","success",6,16,"no",0,1,2,2,3,5,0,"medium","yes","large","no","no","no","yes","product","no","no","no","unstructured","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","no",11.76470588,0,0,35.29411765,17.64705882,17.64705882,0,5.882352941,5.882352941,5.882352941,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"58",58,"company58","success",2,272,"no",1,0,2,2,4,15,0,"medium","yes","small","yes","yes","no","yes","product","no","both","yes","unstructured","no","platform","global","linear","yes","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",11.11111111,0,0,44.44444444,11.11111111,5.555555556,11.11111111,5.555555556,5.555555556,0,0,0,0,5.555555556,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"59",59,"company59","success",2,115,"no",0,1,2,0,2,50,0,"medium","no","small","yes","yes","no","yes","service","no","both","yes","structured","no","platform","local","non-linear","no","no","no","no","no","no","yes","yes","no","no","no","offline","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",60,"company60","success",2,124,"no",2,1,2,0,2,14,0,"high","no","medium","no","no","no","yes","product","no","no","yes","structured","yes","platform","local","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","no",5.555555556,0,2.777777778,11.11111111,2.777777778,5.555555556,11.11111111,0,5.555555556,0,0,0,5.555555556,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"61",61,"company61","success",5,409,"yes",0,0,2,0,2,50,2,"medium","yes","large","no","no","no","yes","product","no","both","no","both","yes","platform","global","non-linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"62",62,"company62","success",2,51,"yes",10,0,2,1,4,18,0,"low","no","small","yes","yes","no","yes","service","no","both","no","structured","no","platform","global","linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","no",5.555555556,0,50,5.555555556,0,11.11111111,16.66666667,5.555555556,0,5.555555556,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"63",63,"company63","success",2,388,"no",0,1,2,1,2,18,0,"low","no","large","no","no","no","yes","service","no","no","no","structured","no","none","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",11.76470588,0,0,52.94117647,5.882352941,0,5.882352941,0,11.76470588,5.882352941,0,0,5.882352941,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",65,"company65","success",2,115,"no",1,0,2,0,2,17,0,"low","no","large","yes","no","no","yes","product","no","no","no","not applicable","no","none","local","linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",20,0,0,0,10,0,0,0,10,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",66,"company66","success",7,115,"yes",0,0,2,0,1,488,0,"low","no","small","yes","yes","no","yes","service","yes","no","no","structured","no","none","global","linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",11.11111111,0,22.22222222,33.33333333,5.555555556,5.555555556,5.555555556,5.555555556,0,11.11111111,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",67,"company67","success",5,157,"yes",0,0,4,1,5,39,0,"low","no","small","yes","yes","no","yes","service","yes","no","no","unstructured","yes","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","yes",8.680555556,0,22.91666667,18.40277778,2.777777778,0,23.61111111,8.680555556,6.25,8.680555556,0,0,0,0,8,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
"68",68,"company68","success",2,133,"no",0,4,2,0,2,5,0,"nothing","no","medium","yes","yes","no","yes","service","no","no","yes","structured","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"69",69,"company69","success",1,408,"no",1,0,2,0,2,6,0,"low","no","small","yes","yes","no","yes","product","yes","no","no","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",17.64705882,11.76470588,17.64705882,23.52941176,11.76470588,0,5.882352941,0,11.76470588,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"70",70,"company70","success",3,239,"no",2,0,4,0,4,4,0,"low","no","small","yes","yes","no","yes","product","no","both","yes","unstructured","yes","platform","global","non-linear","no","no","no","no","yes","no","no","yes","no","no","yes","online","b2b","no",0,13.33333333,26.66666667,46.66666667,0,6.666666667,6.666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",72,"company72","success",3,8,"no",1,0,0,0,3,6,0,"high","no","medium","no","no","no","yes","product","no","both","yes","structured","no","platform","global","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","online","b2b","no",8.333333333,0,8.333333333,25,0,16.66666667,8.333333333,0,8.333333333,25,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"73",73,"company73","success",2,217,"no",0,1,3,0,3,3,0,"medium","no","large","no","no","no","yes","product","yes","both","yes","structured","no","platform","global","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","online","b2b","no",1.851851852,5.664488017,44.11764706,0,3.703703704,11.32897603,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"74",74,"company74","success",4,64,"no",2,0,2,0,3,4,0,"nothing","no","large","no","no","no","yes","product","no","no","no","unstructured","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",77,"company77","success",2,14,"yes",2,0,2,0,2,50,1,"medium","no","large","yes","yes","no","yes","service","yes","public","no","both","no","both","local","non-linear","yes","no","no","no","no","yes","yes","yes","no","no","yes","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"78",78,"company78","success",2,398,"no",0,0,4,0,3,10,0,"medium","no","large","no","no","no","yes","service","no","public","yes","structured","no","both","global","non-linear","no","yes","no","yes","yes","no","no","yes","no","no","no","online","b2c","no",28.57142857,7.142857143,7.142857143,7.142857143,14.28571429,7.142857143,7.142857143,7.142857143,0,0,0,0,7.142857143,7.142857143,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"79",79,"company79","success",4,372,"no",3,0,3,0,3,50,0,"high","no","medium","yes","yes","no","no","service","yes","public","yes","unstructured","yes","none","global","linear","no","no","yes","yes","no","no","no","no","no","no","no","online","b2b","no",0,4.545454545,13.63636364,18.18181818,0,0,4.545454545,9.090909091,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",80,"company80","success",4,-8,"no",0,0,3,1,2,22,0,"low","no","large","no","no","no","yes","product","yes","both","no","both","yes","none","global","linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2b","yes",0,0,20,0,0,80,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",81,"company81","success",4,263,"yes",2,0,2,0,3,50,0,"low","no","large","yes","yes","yes","yes","service","yes","public","no","both","yes","both","global","non-linear","no","no","no","yes","yes","no","no","no","yes","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",83,"company83","success",3,42,"no",0,1,5,2,5,50,0,"low","no","small","no","no","no","no","service","yes","public","no","both","no","both","global","linear","no","no","yes","yes","yes","no","no","yes","no","no","no","online","b2b","no",11.76470588,0,11.76470588,23.52941176,0,0,29.41176471,0,5.882352941,17.64705882,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",85,"company85","success",3,401,"yes",2,3,4,0,2,10,0,"medium","no","small","no","no","yes","yes","service","yes","public","no","unstructured","yes","both","global","non-linear","no","no","no","yes","yes","no","no","no","no","no","no","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",86,"company86","success",3,-77,"no",1,0,2,0,1,22,0,"high","no","large","yes","no","no","no","service","yes","public","no","unstructured","yes","both","local","non-linear","yes","no","no","yes","yes","no","no","no","no","yes","yes","online","b2c","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"87",87,"company87","success",4,-103,"no",2,0,3,1,3,50,0,"medium","no","small","yes","yes","no","no","service","no","public","no","structured","yes","both","local","non-linear","no","no","no","yes","yes","yes","no","no","no","no","no","online","b2b","no",7.692307692,3.846153846,46.58119658,0,7.692307692,7.692307692,2.777777778,6.623931624,3.846153846,13.24786325,0,0,0,0,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"89",89,"company89","success",3,261,"no",6,0,2,0,2,10,1,"low","no","small","yes","no","no","no","service","yes","public","no","both","yes","both","local","non-linear","no","no","no","yes","yes","yes","no","no","no","no","no","online","b2c","no",5.555555556,0,0,8.333333333,2.777777778,2.777777778,19.44444444,0,0,2.777777778,2.777777778,2.777777778,0,2.777777778,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",90,"company90","success",1,763,"yes",9,0,2,0,4,50,0,"high","no","small","yes","no","no","yes","service","no","public","no","both","yes","both","global","linear","no","no","no","yes","no","yes","no","no","yes","no","no","online","b2b","yes",16.66666667,4.166666667,6.944444444,5.555555556,2.777777778,8.333333333,12.5,0,0,25,0,0,11.11111111,6.944444444,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"92",92,"company92","success",3,293,"yes",0,0,0,0,12,50,0,"medium","no","large","yes","yes","no","no","product","no","both","yes","structured","no","none","global","linear","no","no","no","yes","no","no","yes","yes","yes","no","no","offline","b2b","no",5.555555556,5.555555556,22.22222222,5.555555556,11.11111111,0,22.22222222,11.11111111,11.11111111,5.555555556,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"93",93,"company93","success",4,126,"yes",0,4,3,2,8,28,0,"medium","no","small","yes","yes","no","no","service","no","no","no","not applicable","no","cloud","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","offline","b2b","no",23.07692308,7.692307692,23.07692308,0,0,0,7.692307692,15.38461538,7.692307692,7.692307692,0,0,0,7.692307692,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"95",95,"company95","success",12,123,"no",0,2,0,0,2,50,0,"medium","no","large","yes","yes","yes","yes","service","yes","both","yes","structured","no","platform","local","non-linear","no","no","no","no","yes","no","no","yes","no","no","no","offline","b2b","no",13.33333333,6.666666667,0,0,6.666666667,20,26.66666667,0,6.666666667,13.33333333,0,0,0,6.666666667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
